,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue id,Venue Latitude,Venue Longitude,Venue Category,likes
81,North of Panhandle,37.772550000000024,-122.44583999999998,Papalote Mexican Grill,4426e666f964a520b3311fe3,37.77588157851198,-122.44609044993082,Mexican Restaurant,146
82,Inner Sunset,37.762110000000064,-122.46885999999995,New Eritrea Restaurant & Bar,443fddaff964a52039321fe3,37.76393818133379,-122.46766258023246,Ethiopian Restaurant,143
83,Inner Sunset,37.762110000000064,-122.46885999999995,Yummy Yummy,443fde11f964a5203a321fe3,37.76389194844009,-122.46871700669196,Vietnamese Restaurant,160
84,Duboce Triangle,37.76932000000005,-122.43145999999996,Thep Phanom,4451c73cf964a520a3321fe3,37.771241605575014,-122.43032776416756,Thai Restaurant,47
85,Lower Haight,37.772730000000024,-122.43309999999997,Nopa,44646408f964a52026331fe3,37.774888,-122.437532,New American Restaurant,1676
86,Design District,37.77853007328749,-122.39321008050078,Mexico au Parc,44687d67f964a5204b331fe3,37.78214690472515,-122.39354427808826,Mexican Restaurant,135
87,Lower Nob Hill,37.78944000000007,-122.41453999999999,Rue Lepic,44931d76f964a5207b341fe3,37.790912678347404,-122.41076957699637,French Restaurant,17
88,Russian Hill,37.80203000000006,-122.41962999999998,Okoze Sushi,449b0faef964a520a1341fe3,37.7991907784842,-122.41926571621437,Sushi Restaurant,114
89,Duboce Triangle,37.76932000000005,-122.43145999999996,Woodhouse Fish Co.,44a4f50ef964a520e7341fe3,37.76777970212482,-122.42864613666231,Seafood Restaurant,441
90,Parnassus,37.76276000000007,-122.46045999999996,Koo,44a93c68f964a520f9341fe3,37.76427760419351,-122.46243910760548,Sushi Restaurant,126
91,Nob Hill,37.793360000000064,-122.41787,Swan Oyster Depot,44d1ef97f964a52031361fe3,37.790930790704444,-122.42075867425216,Seafood Restaurant,411
92,Russian Hill,37.80203000000006,-122.41962999999998,Aux Delices,44d8d38df964a5207b361fe3,37.7982998400568,-122.42234725064012,Vietnamese Restaurant,48
93,Cow Hollow,37.79825000000005,-122.43572999999998,Rose's Cafe,44f03c85f964a520f2371fe3,37.79703400320167,-122.43711629328334,Italian Restaurant,203
94,Lower Nob Hill,37.78944000000007,-122.41453999999999,Big 4 Restaurant,44f72e06f964a5204b381fe3,37.7914899311035,-122.41239296657055,American Restaurant,166
95,Nob Hill,37.793360000000064,-122.41787,Cordon Bleu,44f9e6a7f964a52071381fe3,37.790613045466124,-122.42029598589278,Vietnamese Restaurant,119
96,Anza Vista,37.78048000000007,-122.44357999999994,Green Chile Kitchen,44fbed60f964a52080381fe3,37.77736323565456,-122.44188173193396,Mexican Restaurant,405
97,Cow Hollow,37.79825000000005,-122.43572999999998,Bistro Aix,45058f03f964a52009391fe3,37.800223174674436,-122.43776238730307,French Restaurant,67
99,Lower Haight,37.772730000000024,-122.43309999999997,Club Waziema,4540d065f964a520423c1fe3,37.774681070094324,-122.4378144871454,Ethiopian Restaurant,60
100,Western Addition,37.780950000000075,-122.43221999999997,Alamo Square Seafood Grill,454b5351f964a520b43c1fe3,37.77700749865863,-122.43150142598337,Seafood Restaurant,47
101,Marina District,37.80315000000007,-122.43674999999996,Naked Fish,454f46f7f964a520d73c1fe3,37.80079463834339,-122.43796086534988,Sushi Restaurant,53
102,Financial District,37.795780000000036,-122.40047999999996,Kokkari Estiatorio,4570691ff964a5205c3e1fe3,37.79688301339759,-122.39965473755873,Greek Restaurant,857
105,Belden Place,37.7912745,-122.40378675000001,Perbacco,459b7818f964a52089401fe3,37.79328790074778,-122.39913383967941,Italian Restaurant,281
106,Mission Dolores,37.76481000000007,-122.42359999999996,Yamo,45bb98bcf964a520f4411fe3,37.76185545658074,-122.41963705033994,Burmese Restaurant,395
108,Castro,37.75849000000005,-122.43476999999996,Thai Chef,45cf863df964a520a2421fe3,37.76084802254604,-122.435761292625,Thai Restaurant,24
110,Jordan Park,37.784650000000056,-122.45664,Star India,45fed293f964a5208e441fe3,37.7812078988996,-122.4593669859706,Indian Restaurant,28
111,Lower Nob Hill,37.78944000000007,-122.41453999999999,Lahore Karahi,46200bfaf964a52082451fe3,37.785546233744164,-122.41502240207195,Indian Restaurant,151
114,Chinatown,37.795390000000054,-122.40811999999994,Mona Lisa Restaurant,463df059f964a52040461fe3,37.79854126651147,-122.40767274554639,Italian Restaurant,86
117,Dogpatch,37.75946000000005,-122.39035999999999,Hard Knox Cafe,46840627f964a5202d481fe3,37.757563568832296,-122.3883131891363,Southern / Soul Food Restaurant,249
118,Tenderloin,37.78513000000004,-122.41450999999995,Hải Ký Mì Gia,4697a079f964a520e8481fe3,37.78420682863829,-122.41791080836798,Vietnamese Restaurant,125
